ROI
CST_L
ML_L
ICP_L
MCP_L
SCP_L
CP_L
ALIC_L
PLIC_L
RLIC_L
ACR_L
SCR_L
PCR_L
PTR_L
SS_L
EC_L
CCG_L
CGH_L
FXC_L
SLF_L
SFO_L
UF_L
TAP_L
GCC_M
BCC_M
SCC_M
FXC_M
TAP_R
UF_R
SFO_R
SLF_R
FXC_R
CGH_R
CCG_R
EC_R
SS_R
PTR_R
PCR_R
SCR_R
ACR_R
RLIC_R
PLIC_R
ALIC_R
CP_R
SCP_R
MCP_R
ICP_R
ML_R
CST_R
